Ref,Val,Package,PosX,PosY,Rot,Side
"R4","100k","R_0603_1608Metric",5.100000,-14.285935,180.000000,top
"R5","100k","R_0603_1608Metric",5.100000,-17.412781,180.000000,top
"R6","100k","R_0603_1608Metric",5.100000,-20.510000,180.000000,top
"R7","100k","R_0603_1608Metric",5.100000,-23.620000,180.000000,top
"R8","100k","R_0603_1608Metric",5.100000,-26.760000,180.000000,top
"R14","100k","R_0603_1608Metric",5.100000,-29.888373,180.000000,top
"R15","100k","R_0603_1608Metric",5.100000,-33.020758,180.000000,top
"R16","100k","R_0603_1608Metric",5.100000,-36.170000,180.000000,top
"R17","100k","R_0603_1608Metric",5.100000,-56.490000,180.000000,top
"R18","100k","R_0603_1608Metric",5.100000,-59.630185,180.000000,top
"R24","100k","R_0603_1608Metric",5.100000,-62.754130,180.000000,top
"R25","100k","R_0603_1608Metric",5.100000,-65.880000,180.000000,top
"R26","100k","R_0603_1608Metric",5.100000,-68.980000,180.000000,top
"R27","100k","R_0603_1608Metric",5.100000,-72.080000,180.000000,top
"R28","100k","R_0603_1608Metric",5.100000,-75.202913,180.000000,top
"R34","100k","R_0603_1608Metric",5.100000,-78.290000,180.000000,top
"R68","100k","R_0603_1608Metric",54.710000,-89.537000,0.000000,top
"R69","100k","R_0603_1608Metric",54.710000,-91.315000,0.000000,top
"R72","100k","R_0603_1608Metric",41.140000,-87.015000,180.000000,top
"R73","100k","R_0603_1608Metric",41.140000,-88.920000,180.000000,top
"R81","100k","R_0603_1608Metric",51.900000,-92.150000,90.000000,top
"R82","100k","R_0603_1608Metric",42.000000,-91.290000,90.000000,top
"R1","1K","R_0603_1608Metric",18.000000,-21.629000,90.000000,top
"R2","1K","R_0603_1608Metric",17.750000,-59.500000,90.000000,top
"R44","1K","R_0603_1608Metric",24.630000,-14.580000,-90.000000,top
"R45","1K","R_0603_1608Metric",22.709335,-14.580000,-90.000000,top
"R46","1K","R_0603_1608Metric",20.829045,-14.580000,-90.000000,top
"R47","1K","R_0603_1608Metric",18.947682,-14.580000,-90.000000,top
"R48","1K","R_0603_1608Metric",17.066319,-14.580000,-90.000000,top
"R49","1K","R_0603_1608Metric",15.177136,-14.580000,-90.000000,top
"R50","1K","R_0603_1608Metric",13.319486,-14.580000,-90.000000,top
"R51","1K","R_0603_1608Metric",11.461836,-14.580000,-90.000000,top
"R52","1K","R_0603_1608Metric",40.505000,-14.580000,-90.000000,top
"R53","1K","R_0603_1608Metric",42.365000,-14.580000,-90.000000,top
"R54","1K","R_0603_1608Metric",44.315000,-14.580000,-90.000000,top
"R55","1K","R_0603_1608Metric",46.175000,-14.580000,-90.000000,top
"R56","1K","R_0603_1608Metric",48.080000,-14.580000,-90.000000,top
"R57","1K","R_0603_1608Metric",49.985000,-14.580000,-90.000000,top
"R58","1K","R_0603_1608Metric",51.890000,-14.580000,-90.000000,top
"R59","1K","R_0603_1608Metric",53.795000,-14.580000,-90.000000,top
"R84","1M","R_0603_1608Metric",5.100000,-15.850000,0.000000,top
"R85","1M","R_0603_1608Metric",5.100000,-18.950000,0.000000,top
"R86","1M","R_0603_1608Metric",5.100000,-22.070000,0.000000,top
"R87","1M","R_0603_1608Metric",5.100000,-25.190000,0.000000,top
"R88","1M","R_0603_1608Metric",5.100000,-28.330000,0.000000,top
"R89","1M","R_0603_1608Metric",5.100000,-31.470000,0.000000,top
"R90","1M","R_0603_1608Metric",5.100000,-34.600000,0.000000,top
"R91","1M","R_0603_1608Metric",5.100000,-37.760000,0.000000,top
"R92","1M","R_0603_1608Metric",5.100000,-58.060000,0.000000,top
"R93","1M","R_0603_1608Metric",5.100000,-61.200000,0.000000,top
"R94","1M","R_0603_1608Metric",5.100000,-64.320000,0.000000,top
"R95","1M","R_0603_1608Metric",5.100000,-67.430000,0.000000,top
"R96","1M","R_0603_1608Metric",5.100000,-70.530000,0.000000,top
"R97","1M","R_0603_1608Metric",5.100000,-73.640000,0.000000,top
"R98","1M","R_0603_1608Metric",5.100000,-76.750000,0.000000,top
"R99","1M","R_0603_1608Metric",5.100000,-79.830000,0.000000,top
"R79","4.7k","R_0603_1608Metric",31.615000,-31.725000,90.000000,top
"R80","4.7k","R_0603_1608Metric",33.520000,-31.725000,90.000000,top
"R76","4.99k","R_0603_1608Metric",45.585000,-84.157000,-90.000000,top
"C3","100n","C_0603_1608Metric",49.350000,-26.010000,180.000000,top
"C4","100n","C_0603_1608Metric",49.350000,-35.535000,180.000000,top
"C5","100n","C_0603_1608Metric",13.190000,-25.080000,90.000000,top
"C6","100n","C_0603_1608Metric",13.200000,-63.280000,90.000000,top
"C8","100n","C_0603_1608Metric",37.965000,-27.280000,180.000000,top
"C11","100n","C_0603_1608Metric",44.950000,-94.635000,0.000000,top
"C12","100n","C_0603_1608Metric",48.760000,-87.015000,0.000000,top
"C13","1u","C_0603_1608Metric",43.680000,-82.570000,-90.000000,top
"C1","10u","C_0805_2012Metric",15.740000,-43.899118,90.000000,top
"C2","10u","C_0805_2012Metric",15.740000,-49.535439,90.000000,top
"D1","BAT54SW","SOT-323_SC-70",8.500000,-15.080486,0.000000,top
"D2","BAT54SW","SOT-323_SC-70",8.500000,-18.210416,0.000000,top
"D3","BAT54SW","SOT-323_SC-70",8.500000,-21.340346,0.000000,top
"D4","BAT54SW","SOT-323_SC-70",8.500000,-24.470276,0.000000,top
"D5","BAT54SW","SOT-323_SC-70",8.500000,-27.600206,0.000000,top
"D6","BAT54SW","SOT-323_SC-70",8.500000,-30.730136,0.000000,top
"D7","BAT54SW","SOT-323_SC-70",8.500000,-33.860066,0.000000,top
"D8","BAT54SW","SOT-323_SC-70",8.500000,-36.990000,0.000000,top
"D9","BAT54SW","SOT-323_SC-70",8.500000,-57.290000,0.000000,top
"D10","BAT54SW","SOT-323_SC-70",8.500000,-60.402857,0.000000,top
"D11","BAT54SW","SOT-323_SC-70",8.500000,-63.515714,0.000000,top
"D12","BAT54SW","SOT-323_SC-70",8.500000,-66.628571,0.000000,top
"D13","BAT54SW","SOT-323_SC-70",8.500000,-69.741428,0.000000,top
"D14","BAT54SW","SOT-323_SC-70",8.500000,-72.854285,0.000000,top
"D15","BAT54SW","SOT-323_SC-70",8.500000,-75.967142,0.000000,top
"D16","BAT54SW","SOT-323_SC-70",8.500000,-79.080000,0.000000,top
"D30","BAT54SW","SOT-323_SC-70",7.920000,-94.590000,180.000000,top
"D23","D_Schottky","D_SOD-123",13.200000,-52.075439,90.000000,top
"D24","D_Schottky","D_SOD-123",13.200000,-41.359118,90.000000,top
"L1","Ferrite_Bead","L_0603_1608Metric",15.740000,-53.345439,-90.000000,top
"L2","Ferrite_Bead","L_0603_1608Metric",15.740000,-40.089118,90.000000,top
"U1","4051","TSSOP-16_4.4x5mm_P0.65mm",46.810000,-29.820000,0.000000,top
"U2","4051","TSSOP-16_4.4x5mm_P0.65mm",46.810000,-39.345000,0.000000,top
"U3","4021","TSSOP-16_4.4x5mm_P0.65mm",17.010000,-27.325000,90.000000,top
"U4","4021","TSSOP-16_4.4x5mm_P0.65mm",17.010000,-65.425000,90.000000,top
"D22","LM4040DBZ-5","SOT-23",48.760000,-82.570000,0.000000,top
"U6","PCA9685PW","TSSOP-28_4.4x9.7mm_P0.65mm",30.935000,-24.105000,-90.000000,top
"U9","TL072","SOIC-8_3.9x4.9mm_P1.27mm",46.855000,-90.825000,180.000000,top
